date_of_shout,time_of_shout,pager_code,location_of_shout,what_three_words,shout_details,time_boat_launched,time_boat_returned,crew_on_board,crew_on_shore,weather_at_time_of_shout
21/07/2023,15:05,9992167,Inchtavvanch channel,,"Call on channel 16 saying swimmer in water, interpreted wROng by someone as distress. On arrival it way a safety boat calling other boats to warn of swimmer in water. Stood down and returned to base",15:20,16:15,"RB, TR, AM,CS","GH, DON",sunny
19/07/2023,18:44,333,Ardlui,,17' Fletcher speedboat with 1 male occupant had suffered mechanical failure and was drifting just south of Ardlui. The boat and occupant were put on a long tow and taken back to their berth at ROwardenNone,19:00,20:15,"RB, CG, TR, ABJ, AM","RO, ABS","Sunny, windy"
16/07/2023,11:10,999,South of InveRBeg,,"Concern  for missing kayaker that hasnt returned to car, search carried out and found north of ROss isles on east shore, person ok but gave lift back to his car",11:10,12:15,"RB, RO, GH",None,"West wind,heavy showers"
08/07/2023,09:44,333,Duckbay,,Reports of a small craft adrift out in fROnt of Duckbay. After a quick search the small tender was located on the shore line. Small craft was found to be damaged and was removed fROm the water.,09:55,10:30,"DS, AM, AJM","TR, DO",sunny
05/07/2023,18:49,222,Boturich shore,,Crew were paged to a small bayliner with an engine fault bROken down just off of Boturich shore. Vessel was towed back to Loch Lomond marina and secured to its mooring. Crew returned to Duncan Mills and stood down.,19:04,20:04,"ABS, EM, JB, CG","RB, AM","Dry, sunny"
25/06/2023,10:15,333,Mainland West of Island I Vow,,"Report of a vessel drifted fROm beach with no persons onboard. Caller informed Police Scotland that he was on the beach and required assistance to retrieve the vessel. LLRB launched to support, once on scene  crew quickly located the caller who advised local campers were able to assist retrieve his vessel, all being well LLRB stood down and returned to base.",10:30,12:30,"AM, GH","DON, DS, KM",heavy showers
29/06/2023,17:02,333,Boturich shoreline,,"Cuddy drifted ashore onto Boturich shore line with 4 on board, boat taken back to duncan mills",17:15,17:45,"IG, DS, AM, EM",RB,clear sky
28/06/2023,23:11,333,West highland way near to TaRBet,,"LLRB paged to assist male who had kayaked acROss the Loch fROm the A82 side but was now stranded on the west highland way after suffering damage to his inflatable , male & his kayak were taken to Luss pier to meet his family and return home , LLRB stood down returning to base at 00:48",23:25,00:48,"DON, IG , TR , JB , LEE",None,dry
26/06/2023,18:09,333,Boturich Shore,,Crew paged to assist Jet ski that was ashore on Boturich area after taken on water. Crew assisted the 2 males & the jet ski back to Duncan mills slip way,18:20,19:32,"DS, CC, AJM, JB , AM","RB , TR","dry,sunny"
26/06/2023,13:42,999,On shoreline between Luss & Culag,,"Concern for the welfare of a female reported to be threatening to enter the water between Luss & the culag.
LLRB crew & police Scotland officer’s conducted shore & water searches with the assistance of police Scotland helicopter.
Crew stood down after female traced safe & well in Glasgow",13:58,15:55,"DON, RB, GH ,ABJ, KM","TR , EM","sunny,showers"
25/06/2023,20:45,333,Balmaha,,"Report of a maxum bowrider with engine failure after hitting the bottom and becoming bottomed out on the sandbank. Two crew members entered the water, attached ROpe to boat and boat was towed back to Duncan Mills slip.",20:55,22:10,"DS, EM, TR, KMC",None,Dry
24/06/2023,19:33,222,1 mile north of luss,,"BROken down speed boat, crew arrived on scene and towed boat back to location of origin at Duncan mills slipway",19:52,20:50,"ABJ, PD, JB, GH",None,"sunny,clear"
17/06/2023,10:42,333,Inchmoan Island,,"Concern for the welfare of a female left stranded on the island , female was located by crew and taken back to Duncan mills slipway where she was left in the care of police Scotland.",11:03,11:45,"DS , AJM , AM",None,"dry,sunny"
